ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,AA,0,13,-11.0,-5.022376194977744,0.0,20.897765817592276,25.995604398722985,45.0
2025-01-01 00:00:00,DL,0,1,-6.0,-6.0003807881353195,-6.0003807881353195,-6.0003807881353195,-6.0003807881353195,-6.0
2025-01-01 00:00:00,UA,0,7,-7.0,-5.022376194977744,-3.0001207865259647,1.9813812853544068,6.0003807881353195,85.0
2025-01-01 00:00:00,AA,1,1,-7.0,-7.03964781329143,-7.03964781329143,-7.03964781329143,-7.03964781329143,-7.0
2025-01-01 00:00:00,DL,1,2,-9.0,-8.924561993432542,-8.924561993432542,-8.924561993432542,-8.924561993432542,-1.0
2025-01-01 00:00:00,UA,1,1,-3.0,-3.0001207865259647,-3.0001207865259647,-3.0001207865259647,-3.0001207865259647,-3.0
2025-01-01 00:00:00,UA,2,1,1.0,1.01,1.01,1.01,1.01,1.0
2025-01-01 00:00:00,DL,3,1,-2.0,-1.9813812853544068,-1.9813812853544068,-1.9813812853544068,-1.9813812853544068,-2.0
2025-01-01 00:00:00,AA,5,97,-13.0,-7.03964781329143,-5.022376194977744,-1.01,1.01,30.0
2025-01-01 00:00:00,DL,5,55,-16.0,-7.03964781329143,-3.0001207865259647,-1.01,3.9628523348246314,30.0
2025-01-01 00:00:00,UA,5,41,-11.0,-7.03964781329143,-5.022376194977744,-1.01,1.9813812853544068,480.0
2025-01-01 00:00:00,WN,5,17,-10.0,-3.0001207865259647,-1.9813812853544068,1.01,6.0003807881353195,34.0
2025-01-01 00:00:00,AA,6,161,-15.0,-7.03964781329143,-5.022376194977744,-3.0001207865259647,1.01,1418.0
2025-01-01 00:00:00,DL,6,172,-17.0,-7.03964781329143,-5.022376194977744,-1.01,7.03964781329143,270.0
2025-01-01 00:00:00,UA,6,114,-15.0,-6.0003807881353195,-3.0001207865259647,1.9813812853544068,14.945716726242868,336.0
2025-01-01 00:00:00,WN,6,190,-13.0,-5.022376194977744,-3.0001207865259647,0.0,3.9628523348246314,141.0
2025-01-01 00:00:00,AA,7,128,-13.0,-7.03964781329143,-3.9628523348246314,-1.01,6.0003807881353195,301.0
2025-01-01 00:00:00,DL,7,190,-19.0,-6.0003807881353195,-3.9628523348246314,-1.01,15.852127465669819,339.0
2025-01-01 00:00:00,UA,7,161,-13.0,-6.0003807881353195,-3.0001207865259647,-1.01,14.945716726242868,145.0
2025-01-01 00:00:00,WN,7,209,-12.0,-5.022376194977744,-3.0001207865259647,0.0,6.0003807881353195,171.0
2025-01-01 00:00:00,AA,8,179,-14.0,-7.03964781329143,-3.9628523348246314,-1.01,6.0003807881353195,127.0
2025-01-01 00:00:00,DL,8,160,-19.0,-6.0003807881353195,-3.9628523348246314,1.01,29.892123890416237,191.0
2025-01-01 00:00:00,UA,8,169,-14.0,-6.0003807881353195,-3.0001207865259647,1.01,12.001040013389092,71.0
2025-01-01 00:00:00,WN,8,225,-13.0,-5.022376194977744,-1.9813812853544068,0.0,12.001040013389092,107.0
2025-01-01 00:00:00,AA,9,127,-12.0,-5.022376194977744,-3.0001207865259647,0.0,12.001040013389092,357.0
2025-01-01 00:00:00,DL,9,109,-16.0,-5.022376194977744,-3.0001207865259647,1.01,11.086028370328492,243.0
2025-01-01 00:00:00,UA,9,120,-13.0,-5.022376194977744,0.0,10.044983161068599,32.97574798981021,153.0
2025-01-01 00:00:00,WN,9,242,-11.0,-3.9628523348246314,-1.9813812853544068,3.0001207865259647,14.945716726242868,159.0
2025-01-01 00:00:00,AA,10,131,-11.0,-5.022376194977744,-3.9628523348246314,0.0,12.001040013389092,1559.0
2025-01-01 00:00:00,DL,10,127,-16.0,-7.03964781329143,-3.9628523348246314,0.0,15.852127465669819,214.0
2025-01-01 00:00:00,UA,10,109,-10.0,-3.9628523348246314,-1.01,8.924561993432542,23.06811574166162,86.0
2025-01-01 00:00:00,WN,10,222,-9.0,-3.9628523348246314,-1.9813812853544068,3.0001207865259647,17.15649416584582,99.0
2025-01-01 00:00:00,AA,11,148,-15.0,-5.022376194977744,-3.0001207865259647,1.9813812853544068,17.849535601381675,432.0
2025-01-01 00:00:00,DL,11,182,-15.0,-6.0003807881353195,-3.9628523348246314,1.01,8.924561993432542,297.0
2025-01-01 00:00:00,UA,11,116,-12.0,-5.022376194977744,0.0,8.924561993432542,24.977983750285134,178.0
2025-01-01 00:00:00,WN,11,241,-10.0,-3.0001207865259647,0.0,3.9628523348246314,15.852127465669819,119.0
2025-01-01 00:00:00,AA,12,132,-11.0,-5.022376194977744,-1.9813812853544068,7.925884200121824,24.002636914918774,339.0
